"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"W5QRGM76","thesis","1975","Ballivian Martins, María Florencia","José María Pérez de Urdininea en el norte argentino (1819-1825)","","","","","","","1975","2020-07-06 14:27:20","2021-09-05 22:23:25","","","","","","","","José María Pérez de Urdininea","","","","","Universidad Mayor de San Andrés","La Paz","esp","","Tesis de Licenciatura","","","","","","","","","Siglo XIX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YQNK9UIM","thesis","1975","Cajías de la Vega, Fernando Julio","La provincia de Atacama, 1825-1841","","","","","","","1975","2020-07-06 14:34:16","2021-09-05 22:23:27","","","","","","","","La provincia de Atacama","","","","","Universidad Mayor de San Andrés","La Paz","esp","","Tesis de Licenciatura","","","","","","","","","Siglo XIX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VS5JR4GE","thesis","1976","Gomez Asport, Blanca Asunción","Casimiro Olañeta diplomático, 1824-1841","","","","","","","1976","2020-07-06 14:36:56","2021-09-05 22:23:40","","","","","","","","Casimiro Olañeta","","","","","Universidad Mayor de San Andrés","La Paz","esp","","Tesis de Licenciatura","","","","","","","","","Siglo XIX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M2VQSITF","thesis","1976","Portugal Ortiz, Max","La arqueología de la región del río Beni","","","","","","","1976","2020-07-06 14:41:05","2021-09-06 15:19:02","","","","","","","","La arqueología de la región del río Beni","","","","","Universidad Mayor de San Andrés","La Paz","esp","","Tesis de Licenciatura","","","","","","","","","Prehispánica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KN85MEFR","thesis","1976","Arze Aguirre, René Danilo","Lucha y sentido popular en los primeros años de la guerra de la independencia altoperuana","","","","","","","1976","2020-07-06 14:43:40","2021-09-05 22:23:36","","","","","","","","Lucha y sentido popular","","","","","Universidad Mayor de San Andrés","La Paz","esp","","Tesis de Licenciatura","","","","","","","","","Siglo XIX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5LZPU969","thesis","1978","Siles Guevara, Juan","Primeras misiones diplomáticas bolivianas ante las grandes potencias","","","","","","","1978","2020-07-06 14:48:11","2021-09-05 22:24:36","","","","","","","","Primeras misiones diplomáticas","","","","","Universidad Mayor de San Andrés","La Paz","esp","","Tesis de Licenciatura","","","","","","","","","Siglo XIX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S2CC8FD4","thesis","1979","Choque Canqui, Roberto","Situación social y económica de los revolucionarios del 16 de julio de 1809","","","","","","","1979","2020-07-06 14:49:05","2021-09-05 22:24:40","","","","","","","","Situación social y económica de los revolucionarios","","","","","Universidad Mayor de San Andrés","La Paz","esp","","Tesis de Licenciatura","","","","","","","","","Siglo XIX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S7VYP256","thesis","1979","Urioste Fernandez de Cordova, Marta","Zoilo Flores Aponte y el ferrocarril de Mejillones a Caracoles","","","","","","","1979","2020-07-06 14:51:42","2021-09-05 22:24:45","","","","","","","","Zoilo Flores Aponte","","","","","Universidad Mayor de San Andrés","La Paz","esp","","Tesis de Licenciatura","","","","","","","","","Siglo XIX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K4RQS4GF","thesis","1982","Money Orozco, Mary","El traje, los obrajes y el comercio de ropa en la Audiencia de Charcas","","","","","","","1982","2020-07-06 14:55:45","2021-09-05 22:25:29","","","","","","","","El traje, los obrajes","","","","","Universidad Mayor de San Andrés","La Paz","esp","","Tesis de Licenciatura","","","","","","","","","Siglo XVI; Siglo XVII; Siglo XVIII","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8VUXJKJM","thesis","1984","Valda Martinez, Edgar Armando","Los jesuitas de Potosí y el llamado ramo de temporalidades","","","","","","","1984","2020-07-06 15:04:18","2021-09-05 22:26:12","","","","","","","","Los jesuitas de Potosí","","","","","Universidad Mayor de San Andrés","La Paz","esp","","Tesis de Licenciatura","","","","","","","","","Siglo XVIII","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EUWBVNFN","thesis","1984","Jáuregui Cordero, Juan Heriberto","Comercio entre La Paz y Perú, 1740-1780","","","","","","","1984","2020-07-06 15:06:00","2021-09-05 22:25:55","","","","","","","","Comercio entre La Paz y Perú","","","","","Universidad Mayor de San Andrés","La Paz","esp","","Tesis de Licenciatura","","","","","","","","","Siglo XVIII","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KNMLDFVR","thesis","1984","Cajías de la Vega, María Magdalena","El movimiento obrero boliviano en la distribución oligárquica en la etapa inmediatamente posterior al triunfo de la insurrección de abril de 1952","","","","","","","1984","2020-07-06 15:07:03","2021-09-05 22:25:40","","","","","","","","El movimiento obrero boliviano","","","","","Universidad Mayor de San Andrés","La Paz","esp","","Tesis de Licenciatura","","","","","","","","","Siglo XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GQ85WHQQ","thesis","1984","Escobari Cardozo, Laura Angelita","Tráfico comercial a través de Charcas, 1650-1700","","","","","","","1984","2020-07-06 15:08:31","2021-09-05 22:25:49","","","","","","","","Tráfico comercial","","","","","Universidad Mayor de San Andrés","La Paz","esp","","Tesis de Licenciatura","","","","","","","","","Siglo XVII","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
