"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"DV63CIGQ","book","2019","Bello, Giovanni","La ""Orquesta Jazz"": entre vanguardia y cosmopolitismo cholo. La Paz, 1925-1950","","","","","","","2019","2020-03-07 00:27:56","2021-09-07 02:12:09","","","190","","","","","","Colección Carrera de Historia-Tesis","2","","","Instituto de Investigaciones Históricas / UMSA","La Paz","Spanish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZQ6DG5ST","book","2019","Chambi Ocaña, Airton Laureano","Los prisioneros bolivianos en la guerra del Chaco y su relevancia en la post guerra. 1932-1946","","","","","","","2019","2020-03-07 00:30:30","2021-09-07 02:12:35","","","261","","","","","","Colección Carrera de Historia-Tesis","5","","","Instituto de Investigaciones Históricas / UMSA","La Paz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XQKGXXUA","book","2019","Maldonado Pérez, Nancy Hancina","Imaginario y representación de los recursos naturales en el escudo de Bolívar/Bolivia de 1825 y 1826","","","","","","","2019","2020-03-07 00:29:16","2021-09-07 02:12:25","","","","","","","","","Colección Carrera de Historia-Tesis","3","","","Instituto de Investigaciones Históricas / UMSA","La Paz","Spanish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZCAVEXXZ","book","2019","Grados Gorriti, Susana Belén","Conflictos de tierras y problemas sociales: Calacoto, provincia Pacajes, 1700-1750","","","","","","","2019","2020-03-07 00:26:28","2021-09-07 02:12:32","","","201","","","","","","Colección Carrera de Historia-Tesis","4","","","Instituto de Investigaciones Históricas / UMSA","La Paz","Español","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GL3KTWNG","book","2018","Orsag Molina, José Octavio","Civilización y barbarie. Los pueblos no reducidos durante el auge de la goma en Bolivia (1880-1912)","","","","","","","2018","2020-03-07 00:23:56","2021-09-07 02:12:05","","","206","","","","","Civilización y barbarie","Colección Carrera de Historia-Tesis","1","","","Instituto de Investigaciones Históricas / UMSA","La Paz","Español","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DX4FAL5H","book","1979","Ballivian Romero, Florencia","José María Pérez de Urdininea, un general de la independencia, 1819-1825","","","","","","","1979","2020-07-06 14:32:33","2020-07-06 14:54:48","","","112","","","","","José María Pérez de Urdininea","","","","","Casa Municipal de la Cultura Franz Tamayo","La Paz","es","","","","","Google Books","","Google-Books-ID: mZQKAQAAIAAJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V4G57GKF","book","1975","Cajías de la Vega, Fernando","La Provincia de Atacama, 1825-1842","","","","","","","1975","2020-07-06 14:36:10","2020-07-06 14:54:58","","","420","","","","","La Provincia de Atacama","","","","","Instituto Boliviano de Cultura","La Paz","es","","","","","Google Books","","Google-Books-ID: fpAKAQAAIAAJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46WS4ZT8","book","1978","Gomez de Aranda, Blanca","Casimiro Olañeta, diplomático, 1824-1839","","","","","","","1978","2020-07-06 14:38:35","2020-07-06 14:55:17","","","144","","","","","Casimiro Olañeta","","","","","Instituto Boliviano de Cultura","La Paz","esp","","","","","Google Books","","Google-Books-ID: 2okaAAAAYAAJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VBQWTYGE","book","1978","Portugal Ortiz, Max","La arqueología de la región del Río Beni","","","","","","","1978","2020-07-06 14:42:27","2020-07-06 14:55:27","","","156","","","","","La arqueología","","","","","Casa Municipal de la Cultura Franz Tamayo","La Paz","esp","","","","","Google Books","","Google-Books-ID: LlgaAAAAYAAJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L8PT6KW4","book","1979","Arze Aguirre, René Danilo","Participación popular en la independencia de Bolivia","","","","","","","1979","2020-07-06 14:44:57","2020-07-06 14:54:39","","","284","","","","","Participación popular","","","","","Organización de los Estados Americanos","La Paz","esp","","","","","Google Books","","Google-Books-ID: 6SoeAAAAMAAJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CJ7H8JGG","book","2008","Choque Canqui, Roberto","Situación social y económica de los revolucionarios del 16 de julio de 1809 en La Paz","","978-99954-0-392-8","","","","","2008","2020-07-06 14:50:57","2020-07-06 14:55:09","","","","","","","","Situación social y económica de los revolucionarios","","","","","Gobierno Municipal de La Paz","La Paz","Spanish","","","","","Open WorldCat","","OCLC: 402576077","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2SZT2M4J","book","1983","Money, Mary","Los obrajes, el traje y el comercio de ropa en la Audiencia de Charcas","","","","","","","1983","2020-07-06 15:00:23","2021-08-30 19:13:12","","","286","","","","","Los obrajes, el traje y el comercio","Colección Arzans y Vela","","","","Instituto de Estudios Bolivianos / Facultad de Humanidades / UMSA / Embajada de España en Bolivia","","esp","","","","","Google Books","","Google-Books-ID: DS5GAAAAYAAJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
