"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TD43FYD9","thesis","2008","Mogro-Moreno Mercado, María Olga Alicia","Reglamento del Sistema de Archivo del Banco Central de Bolivia","","","","","","","2008","2021-08-29 02:08:02","2021-09-05 21:51:33","","","","","","","","Reglamento del Sistema de Archivo del Banco Central de Bolivia","","","","","Universidad Mayor de San Andrés","La Paz","esp","","Trabajo Dirigido de Licenciatura en Historia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M5CRBALY","thesis","2011","Aliaga Maldonado, Danny Susan","Reglamento de Administración Documental y Archivos de Historias Clínicas de la Caja de salud de la Banca Privada","","","","","","","2011","2021-08-29 02:10:23","2021-09-05 21:51:35","","","","","","","","Reglamento de Administración Documental y Archivos de Historias Clínicas","","","","","Universidad Mayor de San Andrés","La Paz","esp","","Trabajo Dirigido de Licenciatura en Historia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YQ6FIQAU","thesis","2000","Viaña Armijo, José Francisco","Manual de organización de archivos para organizar los archivos de la Contraloría General de la República","","","","","","","2000","2021-08-29 02:14:13","2021-09-05 21:51:29","","","","","","","","Mujeres, madres, esposas y profesoras","","","","","Universidad Mayor de San Andrés","La Paz","esp","","Trabajo Dirigido de Licenciatura en Historia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XFBACDHB","thesis","2006","Amusquivar Caballero, Wilma","El modelo educativo de núcleo. Una aproximación a la experiencia educativa del sistema núcleo-seccionales (1930-1940)","","","","","","","2006","2021-08-29 02:18:17","2021-09-05 21:51:31","","","","","","","","El modelo educativo de núcleo","","","","","Universidad Mayor de San Andrés","La Paz","esp","","Trabajo Dirigido de Licenciatura en Historia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WWYHR7YL","thesis","2019","Ticona Foronda, Edson Ivan; Cuba Quispe, Simón","Implementación de tratamiento archivístico sub fondo documental provincia Camacho (expedientes criminales 1879 - 1920)","","","","","","","2019","2021-08-29 19:08:59","2021-08-29 19:09:48","","","","","","","","Implementación de tratamiento archivístico","","","","","Universidad Mayor de San Andrés","La Paz","es","","Trabajo Dirigido de Licenciatura en Historia","","","","","","","","","","","","","","Cuba Quispe, Simón","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TF5ZEXDK","thesis","2019","Huanca Peláez, Beatriz Claudia; Aillón Soria, Esther","Tratamiento archivístico, inventario y catálogo del subfondo juzgado de partido Sorata (1910-1913), provincia Larecaja, del archivo de La Paz","","","","","","","2019","2021-08-29 19:10:00","2021-08-29 19:10:43","","","","","","","","Tratamiento archivístico, inventario y catálogo","","","","","Universidad Mayor de San Andrés","La Paz","es","","Trabajo Dirigido de Licenciatura en Historia","","","","","","","","","","","","","","Aillón Soria, Esther","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YAQ5YHQ3","thesis","2019","Pacheco Cerezo, Miguel Orlando; Fernández Quisbert, Ramiro","Elaboración de un Inventario detallado del Sub - Fondo Alcaldía Corocoro del Fondo Provincial - Pacajes (ALP)","","","","","","","2019","2021-08-29 19:12:01","2021-08-29 19:12:54","","","","","","","","Elaboración de un inventario detallado","","","","","Universidad Mayor de San Andrés","La Paz","es","","Trabajo Dirigido de Licenciatura en Historia","","","","","","","","","","","","","","Fernández Quisbert, Ramiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UNYGAMBH","thesis","2019","Copa Laura, Filomena; Aillón Soria, Esther","Archivo de La Paz: tratamiento archivístico para la elaboración del inventario y catálogo del subfondo juzgado de partido Sorata, del fondo provincial Larecaja, 1937 – 1975","","","","","","","2019","2021-08-29 19:15:32","2021-08-29 19:16:02","","","","","","","","Archivo de La Paz: tratamiento archivístico para la elaboración del inventario y catálogo del subfondo juzgado de partido Sorata","","","","","Universidad Mayor de San Andrés","La Paz","es","","Trabajo Dirigido de Licenciatura en Historia","","","","","","","","","","","","","","Aillón Soria, Esther","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AHQQUYUP","thesis","2019","Flores Cerezo, Luz Elida; Fernández Quisbert, Ramiro","Tratamiento archivístico del fondo provincial Larecaja sub- fondo alcaldía municipal de Sorata 1831-1986 del Archivo La Paz","","","","","","","2019","2021-08-29 19:16:20","2021-08-29 19:16:59","","","","","","","","Tratamiento archivístico del fondo provincial Larecaja","","","","","Universidad Mayor de San Andrés","La Paz","es","","Trabajo Dirigido de Licenciatura en Historia","","","","","","","","","","","","","","Fernández Quisbert, Ramiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YH594Y9K","thesis","2019","Colque Guarachi, Verónica; Aillón Soria, Esther","Tratamiento archivístico y elaboración de inventario y catálogo del subfondo juzgado de partido Sorata de la provincia Larecaja, en el archivo de La Paz, 1919 - 1936","","","","","","","2019","2021-08-29 19:17:25","2021-08-29 19:17:58","","","","","","","","Tratamiento archivístico y elaboración de inventario y catálogo del subfondo juzgado de partido Sorata","","","","","Universidad Mayor de San Andrés","La Paz","es","","Trabajo Dirigido de Licenciatura en Historia","","","","","","","","","","","","","","Aillón Soria, Esther","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8K9G6D85","thesis","2021","Condori Marquera, Rocio Sonia; Aillón Soria, Esther","Tratamiento archivístico, inventario y catalogación de los expedientes judiciales del subfondo juzgado de partido Sorata de la provincia Larecaja, en el Archivo de La Paz, 1906-1909","","","","","","","2021","2021-08-30 00:29:06","2021-08-30 00:29:54","","","","","","","","Tratamietno archivístico, inventario y catalogación","","","","","Universidad Mayor de San Andrés","La Paz","es","","Trabajo Dirigido de Licenciatura en Historia","","","","","","","","","","","","","","Aillón Soria, Esther","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZCCQI4Y9","thesis","2021","Casas Yujra, Magda Judith; Cuba Quispe, Simón","Implementación del tratamiento archivístico sub fondo documental Provincia Camacho (Expedientes criminales 1948-1987)","","","","","","","2021","2021-08-30 00:32:02","2021-08-30 00:33:25","","","","","","","","Implementación del tratamiento archivístico","","","","","Universidad Mayor de San Andrés","La Paz","es","","Trabajo Dirigido de Licenciatura en Historia","","","","","","","","","","","","","","Cuba Quispe, Simón","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QH8AX9AT","thesis","2021","Peralta Troncoso, Jesús Danilo; Aillón Soria, Esther","Proceso de ordenación, sistematización y catalogación del Fondo Provincial Larecaja, Sub Fondo Juzagado de Partido Sorata del Archivo de La Paz (1914-1918)","","","","","","","2021","2021-08-30 00:35:01","2021-08-30 00:36:08","","","","","","","","Proceso de ordenación, sistematización y catalogación","","","","","Universidad Mayor de San Andrés","La Paz","es","","Trabajo Dirigido de Licenciatura en Historia","","","","","","","","","","","","","","Aillón Soria, Esther","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9UAYWDMR","thesis","2021","Vino Vino, Daysi; Medinaceli, Ximena","Implementación del tratamiento archivístico y realización de inventario del Fondo Provincial Pacajes - Sub Fondo: Juzgados, en el ALP, 1884-1905","","","","","","","2021","2021-09-07 19:46:14","2021-09-07 19:48:18","","","","","","","","Implementación del tratamiento archivístico","","","","","Universidad Mayor de San Andrés","La Paz","es","","Trabajo Dirigido de Licenciatura en Historia","","","","","","","","","","","","","","Medinaceli, Ximena","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
